race_id,race_title,race_date,着順,馬番,馬名,コーナー通過順,上がり3F,単勝オッズ,複勝配当,条件1,条件2,仮説フラグ
202505010108,4歳以上2勝クラス,2025/02/01,5,4,アスクデビューモア,8-8-10-10,35.8,7.6,0,True,True,True
202505010108,4歳以上2勝クラス,2025/02/01,6,1,マウンテンエース,11-11-8-7,36.7,15.0,0,True,False,False
202505010108,4歳以上2勝クラス,2025/02/01,7,9,ハワイアンタイム,2-2-4-5,36.9,39.4,0,True,False,False
202505010108,4歳以上2勝クラス,2025/02/01,8,5,キャネル,6-6-8-5,37.1,1.9,0,True,True,True
202505010108,4歳以上2勝クラス,2025/02/01,9,8,ユアフラッシュ,4-5-5-8,36.9,14.7,0,False,False,False
202505010108,4歳以上2勝クラス,2025/02/01,10,6,マサハヤウォルズ,5-3-5-4,37.5,132.3,0,True,False,False
202505010108,4歳以上2勝クラス,2025/02/01,11,2,ピュアグルーヴ,6-6-5-11,55.3,40.9,0,True,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,1,8,タガノエスコート,2-2,35.9,8.1,240,False,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,2,6,サクラトップリアル,9-9,34.7,3.3,160,False,True,False
202505010109,白嶺ステークス(3勝),2025/02/01,3,16,ナイトアクアリウム,7-8,35.1,6.4,210,False,True,False
202505010109,白嶺ステークス(3勝),2025/02/01,4,15,コンティノアール,3-3,36.2,7.7,0,True,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,5,12,ヴィヴァン,10-11,34.9,96.3,0,True,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,6,13,ビーアイオラクル,1-1,36.6,14.2,0,False,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,7,7,グランツアーテム,5-5,36.1,50.0,0,False,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,8,11,ラフエイジアン,12-12,35.0,9.0,0,False,True,False
202505010109,白嶺ステークス(3勝),2025/02/01,9,2,リバートゥルー,15-15,34.7,57.6,0,True,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,10,14,メロウヴォイス,4-3,36.5,71.0,0,True,True,True
202505010109,白嶺ステークス(3勝),2025/02/01,11,5,グラウンドビート,10-10,35.6,13.8,0,False,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,12,3,タマモダイジョッキ,7-6,36.3,55.7,0,False,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,13,10,モナルヒ,12-14,35.3,193.3,0,False,False,False
202505010109,白嶺ステークス(3勝),2025/02/01,14,4,ジョディーズマロン,16-16,34.8,7.3,0,False,True,False
202505010109,白嶺ステークス(3勝),2025/02/01,15,1,ゴールドアローン,14-12,35.5,16.0,0,True,True,True
202505010109,白嶺ステークス(3勝),2025/02/01,16,9,ドラゴンゴクウ,6-6,36.6,183.5,0,False,False,False
202505010110,クロッカスステークス(L),2025/02/01,1,3,クラスペディア,1-1,33.6,4.5,180,True,False,False
202505010110,クロッカスステークス(L),2025/02/01,2,2,ティラトーレ,3-3,33.2,2.5,160,False,False,False
202505010110,クロッカスステークス(L),2025/02/01,3,1,プリティディーヴァ,5-5,33.2,2.1,0,False,True,False
202505010110,クロッカスステークス(L),2025/02/01,4,4,ストレイトトーカー,7-6,33.1,10.5,0,True,False,False
202505010110,クロッカスステークス(L),2025/02/01,5,5,スマッシュアウト,2-2,33.8,49.8,0,True,False,False
202505010110,クロッカスステークス(L),2025/02/01,6,6,エイシンワンド,4-4,33.7,17.0,0,False,False,False
202505010110,クロッカスステークス(L),2025/02/01,7,7,フタイテンホイール,6-7,33.9,201.3,0,True,False,False
202505010111,白富士ステークス(L),2025/02/01,1,5,シュトラウス,2-1-1,34.3,5.5,280,False,False,False
202505010111,白富士ステークス(L),2025/02/01,2,6,マイネルモーント,1-4-3,34.2,6.6,210,False,True,False
202505010111,白富士ステークス(L),2025/02/01,3,3,ルージュリナージュ,9-10-10,33.7,13.1,330,True,True,True
202505010111,白富士ステークス(L),2025/02/01,4,4,グランドカリナン,5-7-6,34.2,9.3,0,True,True,True
202505010111,白富士ステークス(L),2025/02/01,5,10,グリューネグリーン,4-2-2,34.8,54.1,0,False,False,False
202505010111,白富士ステークス(L),2025/02/01,6,11,シンリョクカ,5-5-6,34.3,6.3,0,True,False,False
202505010111,白富士ステークス(L),2025/02/01,7,7,ウンブライル,2-5-3,34.5,26.7,0,False,False,False
202505010111,白富士ステークス(L),2025/02/01,8,1,トーセンリョウ,13-11-10,34.1,2.9,0,True,True,True
202505010111,白富士ステークス(L),2025/02/01,9,2,ホウオウノーサイド,11-11-12,34.2,389.3,0,True,False,False
202505010111,白富士ステークス(L),2025/02/01,10,8,グランスラムアスク,5-7-8,34.7,71.5,0,True,False,False
202505010111,白富士ステークス(L),2025/02/01,11,9,トゥデイイズザデイ,11-11-13,34.4,7.8,0,True,False,False
202505010111,白富士ステークス(L),2025/02/01,12,13,レガトゥス,5-2-3,37.9,43.6,0,False,False,False
202505010111,白富士ステークス(L),2025/02/01,13,12,アドマイヤハレー,9-7-8,42.0,64.5,0,False,False,False
202505010112,4歳以上1勝クラス,2025/02/01,1,2,ショウナンラピダス,1-1-1,34.1,52.4,530,True,False,False
202505010112,4歳以上1勝クラス,2025/02/01,2,8,フォルラニーニ,6-3-3,33.8,1.8,110,False,True,False
202505010112,4歳以上1勝クラス,2025/02/01,3,7,レイククレセント,4-4-5,34.0,4.1,150,False,False,False
202505010112,4歳以上1勝クラス,2025/02/01,4,10,バードウォッチャー,11-11-11,33.5,20.0,0,False,True,False
202505010112,4歳以上1勝クラス,2025/02/01,5,1,フォティーゾ,7-8-8,33.9,6.9,0,True,False,False
202505010112,4歳以上1勝クラス,2025/02/01,6,4,クラウドセイル,2-4-3,34.5,73.1,0,False,True,False
202505010112,4歳以上1勝クラス,2025/02/01,7,5,ミスティア,3-2-2,34.8,20.5,0,False,False,False
202505010112,4歳以上1勝クラス,2025/02/01,8,13,マイネルフォルツァ,14-15-12,33.6,65.5,0,True,False,False
202505010112,4歳以上1勝クラス,2025/02/01,9,15,ラパンラピッド,11-13-12,33.8,21.0,0,False,False,False
202505010112,4歳以上1勝クラス,2025/02/01,10,12,ファイナルヒート,11-10-8,34.2,10.9,0,True,False,False
202505010112,4歳以上1勝クラス,2025/02/01,11,14,モアナフリューゲル,14-13-15,33.7,140.4,0,False,False,False
202505010112,4歳以上1勝クラス,2025/02/01,12,3,レッドカメリア,4-6-6,34.6,397.6,0,True,False,False
